Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,L2CacheHit
8309,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16783,50588,50588,6324224,64,0,16,64,0,48,64,0x0,0x79b1574e8940,89.9310918466
8318,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16792,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,91.0442422599
8321,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,16795,50588,50588,12582912,64,0,16,64,0,48,64,0x0,0x79b1570e47c0,90.0105761464
8324,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16798,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,90.2582663833
8327,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16819,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.1797451831
8336,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16828,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.3011020064
8339,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,16831,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.0788090570
8342,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16834,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.8922485039
8345,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16837,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.2097675107
8354,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16846,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.0833434595
8357,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,16849,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1481145709
8360,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16852,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,90.1805810471
8363,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16855,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,89.9793942823
8372,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16864,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8375,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,16867,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,None
8377,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16851,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,91.0037137643
