Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FetchSize,MemUnitBusy,MemUnitStalled,VALUBusy,LDSBankConflict
8316,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16797,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,483519.1875000000,70.2536810714,1.6849121003,59.9454764808,0.0000000000
8325,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16806,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142529.7500000000,72.7576467874,1.3249379316,61.6408869195,0.0000000000
8328,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,16809,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,953320.5625000000,75.7888049696,1.8051975127,64.6576458955,0.0000000000
8331,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16812,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429242.6250000000,64.5144318357,0.3835245456,54.5889821093,0.0000000000
8334,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16815,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,480141.8125000000,74.4814918108,1.8901881637,63.5074254277,0.0000000000
8343,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16824,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142404.8125000000,73.0325098172,1.3166478737,61.7339513216,0.0000000000
8346,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,16827,51856,51856,12582912,64,0,16,64,0,48,64,0x0,0x72a6f7a887c0,952526.0000000000,75.8859367717,1.8087251468,64.8054174938,0.0000000000
8349,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16830,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,429359.1250000000,64.5207643197,0.3816387646,54.6100678616,0.0000000000
8352,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,16833,51856,51856,6324224,64,0,16,64,0,48,64,0x0,0x72a6f7b38940,480098.5625000000,74.7289767622,1.8539148858,63.7277567092,0.0000000000
8361,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,16842,51856,51856,2097152,64,0,0,64,0,48,64,0x0,0x72a6f7aa06c0,142401.1875000000,73.1432782487,1.3082293353,61.8219714403,0.0000000000
